Type,Tracking Number,Case Type,Intake Date,Closed Date,Finding,Result,Respondent Agency,Received By,Staff Assigned To,Mediation Requested,Region,No basis identified,SNAPPER Issue,Status,Mediation Start Date,Mediation End Date,LEP,Complainant City,Respondent First Name,Respondent Race,Respondent Sex,Respondent City,External Agency,Client Type,Date Response Submitted,Date Sent to FNS,Exteranl Agency Due Date,Created Date,DUE Date,Date Assigned,FNS Concurrence Date,How Received
Comment,Q10092012.0200003,36 - SIMS Contracts Complaint (Client),10/5/2012,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 03,N,N,Open,,,N,Arlington,Dearey,6-UNKNOWN,U,Arlington,AABC,,,,1/1/1900,10/9/2012,3/24/2017,3/17/2017,,Mail
Comment,Q04102013.0200001,23 - General Charge,2/19/2013,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 06,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,Y,Houston,Doobie,6-UNKNOWN,U,Houston,ARENUMAS,,4/15/2013,3/4/2013,4/19/2013,4/10/2013,3/24/2017,3/17/2017,,Email
Comment,Q05032013.0200001,23 - General Charge,4/16/2013,,,,ZIMZ,"Altenwerth, Alessandra","Sanchez, Alessandro",N,REGION 03,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Euless,Doobie,6-UNKNOWN,U,Fort Worth,ASEND,,5/2/2013,5/2/2015,5/2/2013,5/3/2013,10/15/2015,4/16/2013,,Email
Comment,Q09202012.0200001,23 - General Charge,8/2/2012,,,,ZIMZ,"Altenwerth, Alessandra","Wolfe, Jovany",N,REGION 03,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Dallas,Doobie,6-UNKNOWN,U,Dallas,ARENUMAS,,9/24/2012,9/24/2012,8/31/2012,9/20/2012,1/24/2019,8/2/2012,,Email
Comment,Q03262013.0200003,23 - General Charge,3/15/2013,,,,DSHS,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 00,N,N,Open,,,N,Austin,Gordo,6-UNKNOWN,U,Austin,ASEND,,,,4/15/2013,3/26/2013,3/24/2017,3/17/2017,,Email
Comment,Q09242012.0200002,23 - General Charge,8/16/2012,,,,ZIMZ,"Altenwerth, Alessandra","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Gator,2-BLACK,F,Houston,ARENUMAS,,,9/8/2014,1/1/1900,9/24/2012,3/4/2020,2/26/2020,,Email
Comment,Q04232013.0200005,36 - SIMS Contracts Complaint (Client),4/19/2013,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 00,N,Y,Open,,,N,Missouri City,Tyke,6-UNKNOWN,U,,AABC,,,,1/1/1900,4/23/2013,3/24/2017,3/17/2017,,Email
Comment,Q07242013.0200031,23 - General Charge,6/21/2013,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 05,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,Y,Houston,Doobie,6-UNKNOWN,U,Houston,ARENUMAS,,7/31/2013,7/31/2013,8/2/2013,7/24/2013,3/24/2017,3/17/2017,,Email
Comment,Q01262015.0200006,23 - General Charge,12/4/2014,,,,ZIMZ,"Reynolds, Maia","Ford, Mayra",N,REGION 04,Y,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Longview,Cricket,6-UNKNOWN,U,Tyler,ARENUMAS,,1/23/2015,1/23/2015,1/23/2015,1/26/2015,3/24/2017,3/17/2017,,Email
Comment,Q09292014.0200006,23 - General Charge,9/5/2014,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Houston,Autumn,6-UNKNOWN,U,Houston,ARENUMAS,,9/19/2014,9/19/2014,9/19/2014,9/29/2014,3/4/2020,2/26/2020,,Mail
Comment,Q03172015.0200003,12 - Employment Charge,3/12/2015,,,,DARS,"Reynolds, Maia","Spence, Imani",N,REGION 08,N,,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Victoria,Grumpy,1-WHITE,M,Victoria,#N/A,Applicant,4/9/2015,,4/9/2015,3/17/2015,9/7/2015,3/27/2015,,Mail
Comment,Q03182015.0200003,23 - General Charge,3/4/2015,,,,ZIMZ,"Reynolds, Maia","Ford, Mayra",N,REGION 03,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Sugarland,Autumn,6-UNKNOWN,U,,ARENUMAS,,3/18/2015,3/17/2015,3/18/2015,3/18/2015,3/24/2017,3/17/2017,,Email
Comment,Q05132015.0200001,12 - Employment Charge,5/11/2015,,,,DONS,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Houston,Chico,2-BLACK,F,Houston,#N/A,Employee,6/26/2015,,6/29/2015,5/13/2015,3/4/2020,2/26/2020,,Mail
Comment,Q04042016.0200003,12 - Employment Charge,3/31/2016,,,,CADS,"Bernhard, Judge","Ford, Mayra",N,REGION 07,N,,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Austin,Senior,2-BLACK,F,austin,#N/A,Employee,4/29/2016,,4/29/2016,4/4/2016,3/6/2020,2/28/2020,,Mail
Comment,Q05112016.0200007,32 - General Contracts Complaint (Contract),5/9/2016,,,,ZIMZ,"Bernhard, Judge","Ford, Mayra",N,REGION 11,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,Y,Brownsville,Boo Bear,6-UNKNOWN,U,Brownsville,ARENUMAS,,7/19/2016,,5/29/2014,5/11/2016,2/4/2019,3/17/2017,,Walk-in
Comment,Q08192016.0200001,12 - Employment Charge,8/16/2016,,,,CADS,"Reynolds, Maia","Spence, Imani",N,REGION 08,N,,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,San Antonio,Buzz,3-HISPANIC,M,San Antonio,#N/A,Employee,9/21/2016,,9/29/2016,8/19/2016,9/18/2017,8/19/2016,,PPON Portal
Comment,Q10272016.0200035,22 - Internal Complaint,10/11/2016,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Paris,Ladybug,3-HISPANIC,F,Houston,#N/A,,,12/29/2016,,10/27/2016,3/5/2020,2/27/2020,,Email
Comment,Q09202016.0200005,22 - Internal Complaint,8/22/2016,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 10,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,El Paso,Homer,3-HISPANIC,F,Lomaland,#N/A,,,11/7/2016,,9/20/2016,3/5/2020,2/27/2020,,Email
Comment,Q09072016.0200010,22 - Internal Complaint,9/7/2016,,,,ZIMZ,"Bernhard, Judge","Castaneda, Ronin",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Apple Jack,3-HISPANIC,F,Houston,#N/A,,,10/6/2016,,9/7/2016,10/14/2016,9/7/2016,,Email
Comment,Q10272016.0200034,22 - Internal Complaint,10/20/2016,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Chain,2-BLACK,U,Houston,#N/A,,,12/23/2016,,10/27/2016,3/4/2020,2/26/2020,,Email
Comment,Q06282016.0200018,22 - Internal Complaint,6/17/2016,,,,ZIMZ,"Bernhard, Judge","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Willis,Fellow,2-BLACK,F,Houston,#N/A,,,12/1/2016,,6/28/2016,3/4/2020,2/26/2020,,Email
Comment,Q08122016.0200001,22 - Internal Complaint,8/10/2016,,,,ZIMZ,"Bernhard, Judge","Wolfe, Jovany",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Fort Worth,Brown Sugar,2-BLACK,F,Fort Worth,#N/A,,,11/1/2016,,8/12/2016,1/24/2019,8/12/2016,,Email
Comment,Q08192016.0200009,22 - Internal Complaint,7/19/2016,,,,ZIMZ,"Reynolds, Maia","Wolfe, Jovany",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Pop Tart,2-BLACK,M,Dallas,#N/A,,,10/20/2016,,8/19/2016,1/24/2019,8/15/2016,,Email
Comment,Q11172016.0200024,22 - Internal Complaint,11/1/2016,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,,Autumn,6-UNKNOWN,U,,#N/A,,,1/27/2017,,11/17/2016,3/5/2020,2/27/2020,1/27/2017,Email
Comment,Q11242015.0200018,23 - General Charge,4/21/2015,,,,ZIMZ,"Reynolds, Maia","Ford, Mayra",N,REGION 08,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Shiner,LaLa,1-WHITE,F,Halletsville,AABC,,12/1/2015,12/1/2015,1/1/1900,11/24/2015,3/24/2017,3/17/2017,,Email
Comment,Q11152016.0200008,22 - Internal Complaint,10/31/2016,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Autumn,2-BLACK,U,Richardson,#N/A,,,1/25/2017,,11/15/2016,3/5/2020,2/27/2020,,Email
Comment,Q10132016.0200003,22 - Internal Complaint,10/4/2016,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Bayton,Autumn,6-UNKNOWN,U,Aransas Pass,#N/A,,,12/28/2016,,10/13/2016,3/5/2020,2/27/2020,,Email
Comment,Q10262016.0200015,22 - Internal Complaint,10/13/2016,,,,ZIMZ,"Reynolds, Maia","Sanchez, Alessandro",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Garland,Autumn,2-BLACK,F,,#N/A,,,1/10/2017,,10/26/2016,1/24/2017,10/26/2016,,Email
Comment,Q08242017.0200009,22 - Internal Complaint,8/21/2017,,,,ZIMZ,"Reynolds, Maia","Sosa, Haiden",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Franklin,Autumn,6-UNKNOWN,F,,#N/A,,,11/16/2017,,8/24/2017,11/27/2017,8/24/2017,,Email
Comment,Q09202017.0200007,22 - Internal Complaint,9/1/2017,,,,ZIMZ,"Reynolds, Maia","Spence, Imani",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,San Antonio,Autumn,6-UNKNOWN,F,San Antonio,#N/A,,,11/30/2017,,9/20/2017,12/11/2017,9/20/2017,,Email
Comment,Q08292017.0200003,22 - Internal Complaint,8/16/2017,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,San Antonio,Skipper,3-HISPANIC,M,San Antonio,#N/A,,,10/30/2017,,8/29/2017,3/5/2020,2/27/2020,,Email
Comment,Q09122017.0200013,22 - Internal Complaint,8/9/2017,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Autumn,6-UNKNOWN,U,,#N/A,,,11/7/2017,,9/12/2017,3/4/2020,2/26/2020,,Email
Comment,Q10052017.0200019,22 - Internal Complaint,9/28/2017,,,,ZIMZ,"Reynolds, Maia","Nunez, Nikolai",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Chicken Legs,2-BLACK,F,Fort Worth,#N/A,,,12/22/2017,,10/5/2017,1/4/2018,10/5/2017,,Email
Comment,Q09182017.0200005,22 - Internal Complaint,9/15/2017,,,,ZIMZ,"Reynolds, Maia","Rangel, Jamir",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,Y,Houston,Autumn,6-UNKNOWN,U,,#N/A,,,12/13/2017,,9/18/2017,12/21/2017,9/18/2017,,Email
Comment,Q07132017.0200006,23 - General Charge,7/12/2017,,,,DONS,"Reynolds, Maia","Ford, Mayra",N,REGION 00,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,,Autumn,6-UNKNOWN,U,,ADSE,,8/14/2017,,8/11/2017,7/13/2017,2/4/2019,7/13/2017,,Mail
Comment,Q10102017.0200006,22 - Internal Complaint,9/28/2017,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,Y,Houston,Autumn,6-UNKNOWN,U,,#N/A,,,12/20/2017,,10/10/2017,3/4/2020,2/26/2020,,Email
Comment,Q09252017.0200009,22 - Internal Complaint,9/20/2017,,,,ZIMZ,"Reynolds, Maia","Wolfe, Jovany",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Fort Worth,Autumn,6-UNKNOWN,U,,#N/A,,,12/15/2017,,9/25/2017,1/24/2019,9/20/2017,,Email
Comment,Q08222017.0200002,22 - Internal Complaint,8/18/2017,,,,ZIMZ,"Reynolds, Maia","Sanchez, Alessandro",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Fort Worth,Autumn,6-UNKNOWN,U,,#N/A,,,11/15/2017,,8/22/2017,11/24/2017,8/22/2017,,Email
Comment,Q08232017.0200001,22 - Internal Complaint,8/21/2017,,,,ZIMZ,"Reynolds, Maia","Wolfe, Jovany",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Autumn,6-UNKNOWN,U,,#N/A,,,11/16/2017,,8/23/2017,1/24/2019,8/21/2017,,Email
Comment,Q08242017.0200005,22 - Internal Complaint,8/18/2017,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 05,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,Y,Port Arthur,Fiesta,2-BLACK,M,Port Arthur,#N/A,,,11/16/2017,,8/24/2017,3/4/2020,2/26/2020,,Email
Comment,Q06292017.0200015,26 - SIMS   Complaint,6/22/2017,,,,ZIMZ,"Reynolds, Maia","Castaneda, Ronin",N,REGION 03,N,Y,Open,,,N,Richland Hills,Autumn,6-UNKNOWN,U,,AABC,,,,1/1/1900,6/29/2017,7/6/2017,6/29/2017,,Email
Comment,Q08102017.0200005,22 - Internal Complaint,7/19/2017,,,,ZIMZ,"Reynolds, Maia","Castaneda, Ronin",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Pearsall,Autumn,6-UNKNOWN,U,,#N/A,,,9/1/2017,,8/10/2017,12/11/2017,8/9/2017,,Email
Comment,Q09132017.0200005,22 - Internal Complaint,8/24/2017,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,LIberty,Master,2-BLACK,F,Liberty,#N/A,,,11/16/2017,,9/13/2017,3/4/2020,2/26/2020,,Email
Comment,Q09062017.0200021,22 - Internal Complaint,8/24/2017,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Bedford,Autumn,6-UNKNOWN,U,,#N/A,,,11/21/2017,,9/6/2017,3/5/2020,2/27/2020,,Email
Comment,Q06142017.0200016,32 - General Contracts Complaint (Contract),4/7/2017,,,,ZIMZ,"Reynolds, Maia","Castaneda, Ronin",N,REGION 11,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,Y,,Cutie Pie,6-UNKNOWN,U,Brownsville,ASEND,,5/31/2017,,5/7/2017,6/14/2017,2/4/2019,6/14/2017,,Email
Comment,Q08152017.0200009,22 - Internal Complaint,7/31/2017,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,Y,North Richland Hills,Lil Girl,2-BLACK,F,Fort Worth,#N/A,,,10/27/2017,,8/15/2017,3/5/2020,2/27/2020,,Email
Comment,Q07202017.0200009,22 - Internal Complaint,7/20/2017,,,,ZIMZ,"Haag, Brayan","Spence, Imani",N,REGION 11,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Raymondville,Autumn,6-UNKNOWN,U,,#N/A,,,12/14/2017,,7/20/2017,2/1/2018,7/20/2017,,Walk-in
Comment,Q09182017.0200008,22 - Internal Complaint,9/12/2017,,,,ZIMZ,"Reynolds, Maia","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Pasadena,Queenie,3-HISPANIC,F,Alamo,#N/A,,,12/11/2017,,9/18/2017,3/4/2020,2/26/2020,,Email
Comment,Q09202017.0200006,22 - Internal Complaint,9/6/2017,,,,ZIMZ,"Reynolds, Maia","Rangel, Jamir",N,REGION 06,Y,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Freckles,2-BLACK,F,Houston,#N/A,,,12/5/2017,,9/20/2017,2/1/2018,12/29/2017,,Email
Comment,Q04192017.0200007,32 - General Contracts Complaint (Contract),4/7/2017,,,,ZIMZ,"Reynolds, Maia","Ford, Mayra",N,REGION 11,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,Y,Brownsville,Pansy,6-UNKNOWN,U,,ARENUMAS,,5/18/2017,,5/7/2017,4/19/2017,6/21/2017,4/19/2017,,Email
Comment,Q09222017.0200009,22 - Internal Complaint,9/15/2017,,,,ZIMZ,"Reynolds, Maia","Sanchez, Alessandro",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Caddo Mills,Golden Graham,3-HISPANIC,F,San Antonio,#N/A,,,12/14/2017,,9/22/2017,12/21/2017,9/22/2017,,Email
Comment,Q09262017.0200002,22 - Internal Complaint,9/21/2017,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Dorito,2-BLACK,F,Houston,#N/A,,,12/20/2017,,9/26/2017,3/5/2020,2/27/2020,,Email
Comment,Q11152017.0200010,22 - Internal Complaint,11/2/2017,,,,ZIMZ,"Reynolds, Maia","Dalton, Troy",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Skinny Minny,2-BLACK,F,Dallas,#N/A,,,1/29/2018,,11/15/2017,5/31/2018,11/15/2017,,Email
Comment,Q11032017.0200001,22 - Internal Complaint,10/23/2017,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,San Antonio,Muscles,1-WHITE,F,San Antonio,#N/A,,,1/19/2018,,11/3/2017,3/5/2020,2/27/2020,,Email
Comment,Q12042017.0200020,22 - Internal Complaint,11/29/2017,,,,ZIMZ,"Reynolds, Maia","Jimenez, Rosa",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Missouri City,Autumn,6-UNKNOWN,F,Houston,#N/A,,,2/23/2018,,12/4/2017,3/13/2018,12/4/2017,,Email
Comment,Q03292018.0200017,22 - Internal Complaint,3/26/2018,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 11,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Corpus Christi,Autumn,6-UNKNOWN,U,,#N/A,,,6/21/2018,,3/29/2018,3/5/2020,2/27/2020,,Email
Comment,Q04162018.0200001,22 - Internal Complaint,4/10/2018,,,,ZIMZ,"Jevon Wisoky, Ms.","Price, Ada",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Brenham,Autumn,6-UNKNOWN,U,,#N/A,,,7/13/2018,,4/16/2018,3/5/2020,2/27/2020,,Email
Comment,Q01222018.0200012,22 - Internal Complaint,1/18/2018,,,,ZIMZ,"Reynolds, Maia","Jimenez, Rosa",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Webster,Lefty,2-BLACK,F,Houston,#N/A,,,4/18/2018,,1/22/2018,4/30/2018,1/19/2018,,Email
Comment,Q10312017.0200021,22 - Internal Complaint,10/20/2017,,,,ZIMZ,"Reynolds, Maia","Dalton, Troy",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,North Richland Hills,Pyscho,1-WHITE,F,Fort Worth,#N/A,,,1/18/2018,,10/31/2017,1/29/2018,10/31/2017,,Email
Comment,Q10232017.0200005,22 - Internal Complaint,10/11/2017,,,,ZIMZ,"Reynolds, Maia","Sosa, Haiden",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Dallas,Autumn,6-UNKNOWN,U,,#N/A,,,12/22/2017,,10/23/2017,12/29/2017,10/11/2017,,Email
Comment,Q11132017.0200002,22 - Internal Complaint,11/7/2017,,,,ZIMZ,"Reynolds, Maia","Sosa, Haiden",N,REGION 03,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Fort Worth,Autumn,6-UNKNOWN,U,,#N/A,,,2/4/2018,,11/13/2017,2/12/2018,11/7/2017,,Email
Comment,Q02022018.0200002,22 - Internal Complaint,1/23/2018,,,,ZIMZ,"Reynolds, Maia","Price, Ada",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,,Bello,1-WHITE,F,Copperas Cove,#N/A,,,4/22/2018,,2/2/2018,3/5/2020,2/27/2020,,Email
Comment,Q12042017.0200015,22 - Internal Complaint,11/28/2017,,,,ZIMZ,"Reynolds, Maia","Sanchez, Alessandro",N,REGION 01,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Amarillo,Autumn,6-UNKNOWN,U,,#N/A,,,2/23/2018,,12/4/2017,3/6/2018,11/28/2017,,Email
Comment,Q05172018.0200014,22 - Internal Complaint,5/10/2018,,,,ZIMZ,"Jevon Wisoky, Ms.","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Houston,Cotton,3-HISPANIC,M,Austin,#N/A,,,8/3/2018,,5/17/2018,3/4/2020,2/26/2020,,Email
Comment,Q12202017.0200018,22 - Internal Complaint,12/7/2017,,,,ZIMZ,"Reynolds, Maia","Spence, Imani",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,San Antonio,Autumn,6-UNKNOWN,U,,#N/A,,,3/7/2018,,12/20/2017,3/15/2018,12/20/2017,,Email
Comment,Q05152018.0200019,22 - Internal Complaint,4/25/2018,,,,ZIMZ,"Jevon Wisoky, Ms.","Welch, Braydon",N,REGION 07,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Austin,Ash,3-HISPANIC,F,Round Rock,#N/A,,,7/24/2018,,5/15/2018,8/8/2018,4/25/2018,,Email
Comment,Q06052018.0200006,22 - Internal Complaint,6/4/2018,,,,ZIMZ,"Jevon Wisoky, Ms.","Patel, Kaitlynn",N,REGION 08,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,San Antonio,Thunder Thighs,2-BLACK,F,Austin,#N/A,,,8/30/2018,,6/5/2018,9/12/2018,6/5/2018,,Email
